 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -9.963 1.8394 0.0319 -13.515 -6.3216 2607.0985 0.9998
w_n_t_1 3.3507 1.0617 0.0185 1.2712 5.4536 2610.9889 1.0001
w_a_t_1 5.4608 1.1413 0.0198 3.1678 7.6243 2881.69 0.9997
w_d_t_1 -1.4858 0.5662 0.0107 -2.6388 -0.4736 2458.5697 0.9999
w_c_t_1 2.0602 2.5805 0.0543 -2.9505 7.3114 1790.4018 0.9997
y_c_t_1 1.3552 2.5214 0.0538 -3.7248 5.9833 2139.5478 0.9997
Node -1.4725 0.9109 0.0162 -3.2812 0.2116 2624.465 0.9997
Under_Supply -5.1399 2.0809 0.0485 -9.3048 -1.3004 1733.6311 1.0012
Flow 0.8259 3.0714 0.072 -4.9237 6.9501 1701.2554 1.0008
Arc -0.2869 0.5748 0.0115 -1.4843 0.7753 2672.5941 1.0002
