 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -12.0626 1.7815 0.0463 -15.4853 -8.5667 1278.1887 1.006
w_n_t_1 0.6573 0.8624 0.0153 -0.9311 2.3921 2477.0629 1.0
w_a_t_1 7.7316 1.4377 0.0314 4.9718 10.5992 2032.5128 1.0003
w_d_t_1 -11.0422 1002.8847 18.7563 -1956.856 2004.2152 2621.909 0.9998
w_c_t_1 9.0519 3.2166 0.0837 3.0276 15.8253 1311.1987 1.0056
y_c_t_1 -1.3913 2.3444 0.0536 -6.3169 2.7826 1962.8212 1.0003
Node -0.6797 0.6868 0.016 -1.9659 0.6857 1901.939 1.0004
Under_Supply -4.0072 1.8333 0.0472 -7.5596 -0.4848 1210.0606 1.0021
Flow -0.849 2.445 0.0624 -5.3121 4.1614 1245.8261 1.002
Arc -0.2959 0.4113 0.0089 -1.1096 0.4854 2297.5639 1.0003
