 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.7319 1.2041 0.0235 -5.0588 -0.2427 2332.532 0.9997
w_n_t_1 1.8774 0.4242 0.0071 0.9879 2.6418 3256.6145 0.9999
w_a_t_1 2.6754 0.4244 0.0056 1.8895 3.5379 3829.9386 0.9997
w_d_t_1 -9.588 1038.8027 15.5287 -1963.5933 2061.4003 4209.0278 1.0001
w_c_t_1 2.1981 2.2564 0.05 -2.0086 6.733 1771.7314 0.9998
y_c_t_1 -1.7145 1.8225 0.0338 -5.3654 1.5848 2532.7842 0.9997
Node -0.1287 0.469 0.009 -1.0975 0.7039 2748.4229 0.9999
Under_Supply -1.8376 1.3352 0.0314 -4.2795 0.9036 1727.2151 0.9997
Flow -2.0774 1.5921 0.0341 -5.1932 0.9595 2048.9092 0.9997
Arc 0.4519 0.3326 0.0054 -0.192 1.1189 4049.0387 0.9998
