 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.7959 0.968 0.0179 -5.5347 -1.8426 2401.5742 0.9997
w_n_t_1 -0.4545 0.3821 0.0067 -1.1988 0.3016 2826.2788 1.0001
w_a_t_1 0.8943 0.3614 0.0067 0.1896 1.6072 3428.2664 0.9999
w_d_t_1 -21.5799 977.6856 18.3234 -2024.0372 1815.9692 2863.1652 1.0
w_c_t_1 6.0208 1.9909 0.0417 1.916 9.6029 1804.5324 0.9997
y_c_t_1 0.1123 1.7923 0.0367 -3.1649 3.7693 2436.5373 0.9997
Node 0.1929 0.4328 0.0067 -0.65 1.0384 3727.5731 0.9997
Under_Supply -3.5521 1.3177 0.0321 -6.1671 -1.0527 1714.9544 1.0001
Flow 0.4332 1.6128 0.0365 -2.6937 3.4891 1926.1317 0.9999
Arc -0.4333 0.3218 0.0063 -1.0225 0.2212 2778.6324 1.0
