 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1555.9697 1062.1444 67.0429 -3772.1181 367.0032 179.9719 0.9997
w_n_t_1 -319.8887 200.5354 12.7917 -742.9685 16.4242 178.5037 1.0028
w_a_t_1 809.503 606.8338 36.7216 -118.8735 2016.59 187.6043 1.0002
w_d_t_1 44.562 956.1415 42.6681 -1958.4737 1808.6144 412.9276 1.0015
w_c_t_1 649.0492 779.6454 46.9894 -813.1402 2225.2599 213.6079 1.0005
y_c_t_1 616.8825 782.7399 37.1675 -915.4106 2145.5426 370.2788 0.9997
Node 630.6451 333.0205 19.1285 -12.9757 1252.6296 132.8872 1.0178
Under_Supply -1324.7326 765.5535 41.6495 -2904.379 27.862 273.4768 1.0112
Flow -1576.8564 688.3684 41.2691 -2902.5671 -308.8096 213.7841 1.0026
Arc 341.0157 179.807 10.827 38.7744 706.5511 191.8614 1.0074
