 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -357.8032 1251.3542 84.339 -2869.2462 1940.9547 151.0254 1.0049
w_n_t_1 638.2924 665.5578 38.623 -303.4525 2066.4484 216.6162 1.004
w_a_t_1 -70.7015 980.4989 64.7527 -1973.8335 1744.2819 164.6175 1.004
w_d_t_1 -38.7915 983.8643 46.1785 -1995.7033 1854.3995 399.0354 1.0042
w_c_t_1 -264.5594 463.3936 30.6315 -1118.6946 689.3325 148.9721 1.0033
y_c_t_1 -354.9794 396.1711 29.1403 -1137.316 428.503 81.5624 1.0167
Node -215.6732 155.1878 10.8772 -506.709 70.1799 106.7993 1.0018
Under_Supply -2325.5523 660.719 41.9035 -3663.399 -1128.5298 111.987 1.0013
Flow 969.1592 469.148 33.9187 139.0394 1838.3517 78.7631 0.9998
Arc -38.9457 55.9712 3.7647 -155.2726 54.1002 112.195 1.0004
