 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.6801 1.283 0.0247 -7.2084 -2.2043 2199.742 0.9998
w_n_t_1 1.1689 0.7746 0.014 -0.4391 2.599 3177.4552 0.9997
w_a_t_1 2.1154 0.7024 0.0129 0.8275 3.6047 3164.7142 0.9997
w_d_t_1 -1.3119 0.6575 0.0112 -2.5529 -0.025 3389.1561 0.9997
w_c_t_1 2.3297 2.0484 0.0435 -1.4001 6.6227 2028.4356 1.0001
y_c_t_1 1.1829 2.4559 0.0515 -3.7046 5.9531 2163.2219 0.9998
Node -0.5316 0.749 0.014 -2.0254 0.8838 2724.7254 0.9998
Under_Supply -3.8027 1.6279 0.0355 -6.8953 -0.5295 1704.5966 1.0009
Flow -0.4468 2.3044 0.0501 -5.1965 3.6284 1720.7737 1.0001
Arc 0.0148 0.4557 0.0072 -0.8593 0.914 3138.5405 0.9999
