 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.0665 1.635 0.0447 -5.0881 1.2223 1336.2833 1.0014
w_n_t_1 3.8436 0.8066 0.0158 2.2309 5.3749 2240.7204 1.0013
w_a_t_1 3.4489 0.8922 0.0152 1.8312 5.3071 2799.0697 0.9997
w_d_t_1 -1.9143 0.5091 0.0092 -2.9137 -0.9477 2751.7758 0.9999
w_c_t_1 -4.5166 2.0543 0.0542 -8.7334 -0.5128 1534.2176 1.0011
y_c_t_1 0.0658 2.0187 0.0399 -3.7952 4.2578 2461.0595 1.0
Node -2.9593 0.9198 0.0184 -4.6957 -1.0984 2611.3956 0.9999
Under_Supply -9.0383 2.1662 0.0608 -13.312 -5.0949 1337.2282 1.0019
Flow 4.4837 2.5784 0.0592 -0.4411 9.507 1754.6126 1.0004
Arc -0.4327 0.519 0.0106 -1.4505 0.535 2528.6093 1.001
