 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.8092 1.152 0.0244 -4.0738 0.4252 2149.7737 1.0004
w_n_t_1 0.0484 0.7076 0.0115 -1.3758 1.4113 2828.4893 1.0
w_a_t_1 1.9846 0.7103 0.012 0.652 3.3925 2998.5308 0.9998
w_d_t_1 -1.9991 0.3083 0.0055 -2.6287 -1.4396 2570.4742 0.9997
w_c_t_1 2.4038 1.6781 0.0353 -0.8409 5.7191 1981.9407 1.0
y_c_t_1 2.6162 1.9575 0.0445 -1.1581 6.4843 1884.8834 0.9999
Node 0.1023 0.4934 0.0121 -0.8885 1.0577 1765.925 0.9999
Under_Supply -5.6068 2.1372 0.049 -9.7685 -1.4679 1524.1663 1.001
Flow 3.1559 2.2484 0.0505 -1.08 7.6737 1601.7166 1.0002
Arc 0.0267 0.4036 0.0085 -0.7053 0.848 2216.018 1.0001
