 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -39.6113 13.3704 0.3409 -65.5191 -14.3805 1313.7123 1.0005
w_n_t_1 2.8558 0.9415 0.023 1.1047 4.7981 1776.8074 1.0025
w_a_t_1 2.2704 0.8868 0.0204 0.4809 3.9076 1872.7324 1.0
w_d_t_1 15.9958 1006.0111 21.9672 -1997.0771 1971.3652 2286.7716 1.0013
w_c_t_1 34.3409 13.4556 0.3171 7.8556 59.7731 1469.9593 0.9999
y_c_t_1 4.0975 7.6939 0.1697 -11.4253 18.6107 2261.686 1.0001
Node -3.948 3.115 0.0748 -10.0735 2.0487 1657.7386 1.0015
Under_Supply -52.1016 12.4666 0.3644 -76.7679 -28.771 1279.7482 0.9999
Flow 11.4081 7.3944 0.1747 -2.249 26.7253 1637.7028 1.0002
Arc -0.4634 1.2611 0.0309 -2.9693 1.8699 1474.3025 1.0009
