 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 2.4739 0.9791 0.0178 0.4629 4.2859 3165.3408 1.0002
w_n_t_1 0.9523 0.4888 0.0088 -0.004 1.9005 3279.7654 1.0005
w_a_t_1 1.6071 0.5283 0.0089 0.5964 2.6626 3495.4424 0.9998
w_d_t_1 -5.2265 979.0373 14.5198 -2006.6593 1846.3483 4383.2631 0.9997
w_c_t_1 -1.5501 1.5856 0.0311 -4.5299 1.4966 2427.551 0.9997
y_c_t_1 -1.6468 1.7481 0.0356 -5.1415 1.6724 2200.7339 0.9997
Node 0.7835 0.4154 0.0086 -0.0434 1.5569 2619.3697 0.9997
Under_Supply -4.6354 1.4049 0.0295 -7.3103 -1.9034 1877.9666 1.0001
Flow -0.1701 1.791 0.0375 -3.6043 3.2545 1918.4174 1.0004
Arc -0.3471 0.2903 0.0047 -0.9417 0.2049 3300.9024 0.9997
