 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 2.1065 1.3646 0.0316 -0.6348 4.8394 2247.7291 1.0002
w_n_t_1 0.7535 0.6189 0.0123 -0.3705 2.0419 2956.8295 0.9999
w_a_t_1 2.9703 0.3487 0.0068 2.2805 3.6403 2968.9578 0.9997
w_d_t_1 -2.4556 982.26 15.5926 -1916.019 1924.4868 3924.6604 0.9997
w_c_t_1 -0.5675 1.2324 0.0235 -3.0228 1.759 3007.8247 1.0004
y_c_t_1 0.2559 1.2606 0.0275 -2.1585 2.752 2529.2177 1.0
Node -0.7423 0.4915 0.0082 -1.7342 0.1962 3521.9195 0.9998
Under_Supply -4.0765 1.1081 0.0258 -6.2843 -1.9323 2194.6738 1.0
Flow -4.2927 1.2866 0.0241 -6.8328 -1.7615 2736.4999 0.9997
Arc 0.3416 0.3086 0.0056 -0.251 0.9211 3150.1354 0.9997
