 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -18.5312 6.4828 0.1751 -31.1925 -6.7753 1412.9467 1.0022
w_n_t_1 -0.3643 2.2671 0.0593 -4.8343 3.9567 1486.6348 1.002
w_a_t_1 2.6734 1.6353 0.0369 -0.4702 6.0528 1798.7571 1.0005
w_d_t_1 -19.6319 1023.8985 22.4155 -1967.0692 1937.2287 2528.8386 0.9999
w_c_t_1 10.8522 7.8275 0.2082 -4.6755 26.0205 1362.8257 1.0015
y_c_t_1 2.7253 4.3952 0.1101 -5.2074 11.788 1524.0803 1.0011
Node -3.8737 2.0204 0.0458 -7.8973 -0.0657 1606.6032 0.9997
Under_Supply -10.7845 3.9652 0.102 -18.5543 -3.0994 1273.3572 0.9999
Flow 11.1236 5.412 0.1411 0.415 21.6195 1284.209 0.9997
Arc -2.6161 1.2084 0.0259 -5.0142 -0.3425 1934.2935 0.9997
