 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.4347 3.174 0.076 -13.4209 -1.1505 1705.2013 0.9997
w_n_t_1 3.2952 1.0125 0.0228 1.3386 5.3494 2179.5176 1.0001
w_a_t_1 6.9293 1.1115 0.0275 4.8665 9.2203 1937.0439 1.001
w_d_t_1 7.4915 985.693 18.8222 -1824.4064 1987.6724 2727.5339 0.9998
w_c_t_1 2.0827 4.8473 0.1197 -7.2065 11.4396 1877.0361 1.0
y_c_t_1 1.0921 3.5279 0.0705 -6.1154 7.8451 2340.3662 1.0009
Node 1.0743 1.3081 0.0279 -1.44 3.5819 1899.9064 0.9997
Under_Supply -4.4004 2.9123 0.0725 -9.9699 1.3748 1636.3237 0.9997
Flow -7.3631 3.4832 0.0869 -14.242 -0.4095 1503.2289 0.9998
Arc 0.2634 0.6135 0.0126 -0.9526 1.4106 2249.6956 0.9998
