 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.0503 2.2678 0.0555 -11.3158 -2.4591 1586.3303 0.9999
w_n_t_1 2.6411 0.7864 0.0153 1.2139 4.214 2579.3314 1.0002
w_a_t_1 3.0677 0.6362 0.0135 1.8871 4.3305 1823.8021 0.9997
w_d_t_1 2.082 999.5591 19.275 -1902.0691 2056.1767 2385.8975 0.9999
w_c_t_1 6.3886 3.7952 0.1015 -0.7758 14.0836 1402.8694 1.0001
y_c_t_1 -0.7461 3.316 0.0802 -7.074 5.941 1649.8566 0.9997
Node 0.8683 1.0748 0.0263 -1.2704 2.8778 1800.6112 1.0
Under_Supply -1.8281 1.9328 0.049 -5.4848 1.94 1444.8789 1.0
Flow -6.5815 2.3423 0.0575 -11.011 -1.8645 1688.3417 1.0005
Arc -0.2036 0.5427 0.0112 -1.3053 0.8003 2261.4164 0.9997
