 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.3902 0.9784 0.0173 -2.2558 1.5415 2496.2799 0.9997
w_n_t_1 2.3281 0.5667 0.0089 1.2732 3.4675 3141.5834 0.9997
w_a_t_1 3.0336 0.5123 0.0091 2.0124 4.0552 2944.9468 1.0
w_d_t_1 -1.3156 0.5287 0.0094 -2.2994 -0.2891 2779.7987 1.0002
w_c_t_1 -0.6174 1.3664 0.0298 -3.351 1.9682 2261.6152 0.9997
y_c_t_1 -0.095 1.4665 0.0307 -2.9018 2.7488 2325.0977 0.9998
Node -0.5114 0.5617 0.0102 -1.5757 0.6192 3111.8459 1.0
Under_Supply -5.0155 1.4775 0.032 -7.9191 -2.1791 2222.74 0.9999
Flow -1.8985 1.8212 0.038 -5.2408 1.8973 2496.8874 0.9999
Arc -0.18 0.3467 0.0066 -0.8469 0.5091 2725.9187 0.9998
