 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 2.2061 1.562 0.032 -0.8205 5.2235 2118.1824 0.9999
w_n_t_1 0.95 0.5089 0.009 -0.0223 1.9677 3311.2009 1.0006
w_a_t_1 2.3217 0.437 0.0077 1.4236 3.1636 3194.9842 0.9997
w_d_t_1 -53.7965 995.8272 18.623 -2020.6875 1879.0476 3044.1097 1.0
w_c_t_1 0.2149 1.0452 0.0179 -1.7692 2.2816 3104.8121 0.9998
y_c_t_1 0.6197 1.0737 0.022 -1.4199 2.7837 2767.7323 0.9997
Node 0.4619 0.4324 0.0088 -0.4382 1.2528 2100.5524 1.0004
Under_Supply -2.7916 1.7124 0.0409 -6.2302 0.5026 1635.9522 1.0004
Flow -3.0162 1.9714 0.0484 -7.1164 0.5205 1503.6925 1.0012
Arc -0.4048 0.3636 0.0061 -1.0697 0.368 3423.2634 1.0006
