 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.6344 0.9578 0.0189 -3.512 0.2493 2877.2676 0.9998
w_n_t_1 1.1101 0.6025 0.0115 -0.0629 2.2933 2812.4393 0.9997
w_a_t_1 2.1828 0.6099 0.0107 0.9453 3.3324 3152.5658 1.0003
w_d_t_1 -0.9323 0.4386 0.0082 -1.7872 -0.0801 3147.335 0.9999
w_c_t_1 -1.3798 1.6894 0.0332 -4.5654 2.0514 2439.5422 0.9997
y_c_t_1 -0.6984 1.7612 0.0351 -4.2 2.7581 2355.3744 0.9997
Node -0.1148 0.4374 0.0073 -0.9172 0.7423 3088.4919 0.9997
Under_Supply -3.5567 1.3393 0.0317 -6.1953 -0.9874 1682.9601 0.9998
Flow 2.1274 1.7727 0.039 -1.3001 5.6587 1892.1332 0.9997
Arc 0.1297 0.3009 0.0055 -0.4628 0.7201 3430.7565 1.0006
