 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -9.6817 4.0294 0.0968 -16.8961 -1.4916 1461.3331 1.0005
w_n_t_1 2.1813 1.2489 0.029 -0.2784 4.6714 2012.7181 1.0002
w_a_t_1 2.5786 1.16 0.0232 0.3605 4.9161 2351.2957 0.9997
w_d_t_1 9.4185 994.1495 20.9622 -1805.1476 2068.2261 2507.3125 0.9998
w_c_t_1 6.6485 5.5806 0.1275 -4.5921 17.0755 1657.3123 1.0034
y_c_t_1 -0.1141 4.5516 0.1045 -8.7949 8.7911 2031.1503 1.0019
Node 0.0961 1.4051 0.0276 -2.6553 2.8584 2295.2881 0.9997
Under_Supply -3.2771 3.5403 0.0967 -9.8121 3.8264 1218.2947 0.9998
Flow -4.0124 3.7498 0.0926 -11.3439 3.3632 1568.8131 0.9997
Arc 0.5528 0.6587 0.0143 -0.7807 1.7558 1936.0095 1.0008
