 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -470.9832 1063.2054 105.8061 -2135.4566 2122.9485 2.4431 1.5264
w_n_t_1 0.43 0.2551 0.0216 -0.075 0.9375 18.8632 1.0424
w_a_t_1 470.1703 1063.0153 105.7867 -2125.2284 2132.6256 2.4447 1.5259
w_d_t_1 109.3581 726.3662 53.9432 -1750.3599 1444.1798 94.7559 1.0807
w_c_t_1 -1.4532 1.4716 0.1391 -4.8966 1.1737 13.5541 1.0511
y_c_t_1 -1.1783 1.4285 0.123 -4.3813 1.8707 27.7221 0.9997
Node 1.1423 0.6949 0.0629 -0.1607 2.6794 40.094 1.0134
Under_Supply -8.0568 1.566 0.1468 -11.1816 -4.7442 10.16 1.0046
Flow 4.8897 1.9007 0.1797 0.8266 8.4061 10.2648 1.0045
Arc 0.7668 0.3229 0.0283 0.1022 1.3791 41.4712 1.0034
