 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 2.0589 2.9113 0.0702 -3.6072 7.8536 1595.4872 1.0011
w_n_t_1 1.0378 0.7039 0.0124 -0.2409 2.4803 2630.6454 0.9997
w_a_t_1 3.7035 0.5232 0.0104 2.6791 4.7632 2306.6036 0.9998
w_d_t_1 -15.4469 985.2127 19.4247 -1889.0438 1974.1246 2472.1387 0.9997
w_c_t_1 0.6762 3.3948 0.0763 -5.5835 7.8932 1767.9744 0.9999
y_c_t_1 -0.7364 2.701 0.0495 -5.796 4.5131 2246.1877 0.9998
Node 0.8699 1.2685 0.0313 -1.6828 3.3093 1742.517 1.0023
Under_Supply -12.0807 3.1425 0.0696 -18.5105 -6.355 1649.5789 0.9999
Flow -8.3694 3.2084 0.0676 -14.4909 -2.1714 2057.0908 1.002
Arc 0.0862 0.5769 0.0134 -1.109 1.1259 2070.6828 1.0025
