 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -943.5593 584.4241 42.9286 -2042.5529 -29.9473 88.7493 1.0198
w_n_t_1 892.5773 583.6576 42.9105 -5.1102 1981.7263 88.6492 1.0198
w_a_t_1 3.4135 2.8708 0.1471 -1.9424 9.1258 263.9442 1.0033
w_d_t_1 54.4491 1020.3737 39.0719 -1792.1732 2061.6315 590.6027 1.0074
w_c_t_1 68.9275 36.4755 1.7747 1.6903 141.2786 323.1083 0.9998
y_c_t_1 -13.8649 24.8747 1.4719 -63.9051 35.6876 231.6168 1.0006
Node 12.1003 8.5214 0.5251 -3.3498 29.6347 171.6049 1.0054
Under_Supply -260.2001 90.0304 5.2633 -424.8052 -93.3449 230.717 1.0022
Flow -12.7234 20.329 1.3391 -56.4482 24.2661 134.2499 1.0069
Arc 6.3813 3.6928 0.242 0.2286 14.2787 134.4308 1.0064
