 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.1755 2.7208 0.0706 -13.1758 -2.4979 1471.7755 0.9997
w_n_t_1 2.0449 0.8085 0.0144 0.5527 3.6846 2381.2393 0.9997
w_a_t_1 1.6901 0.7354 0.0151 0.2126 3.0795 2233.6074 1.0009
w_d_t_1 -0.7309 0.44 0.0084 -1.5375 0.1781 2412.906 0.9999
w_c_t_1 2.3771 2.9584 0.0789 -3.5072 8.0379 1484.5852 0.9997
y_c_t_1 3.9164 2.5617 0.0646 -1.2508 8.8013 1682.9517 1.001
Node 1.2591 1.3731 0.0334 -1.2851 4.1131 1592.9121 1.0019
Under_Supply -7.0621 2.684 0.0735 -12.4204 -2.0788 1340.6481 1.0005
Flow -0.5399 3.3231 0.0875 -6.7082 6.2549 1306.8343 1.0027
Arc -0.0377 0.6159 0.0126 -1.2814 1.1638 2355.6191 0.9999
