 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.8319 1.4065 0.0333 -8.647 -3.1728 1562.0112 1.0012
w_n_t_1 0.7955 0.7599 0.0144 -0.6327 2.254 2218.8802 0.9997
w_a_t_1 2.9536 0.5214 0.0085 1.9593 3.9532 4160.5562 0.9997
w_d_t_1 -29.0338 1042.8613 17.1829 -2131.9395 1939.6548 4179.4728 0.9997
w_c_t_1 5.3599 2.3635 0.0501 0.7812 9.9542 1787.2565 1.0008
y_c_t_1 -0.2116 2.1558 0.0413 -4.6548 3.7972 2070.7655 0.9998
Node -1.1689 0.5832 0.0132 -2.2611 0.0017 2057.1613 1.0041
Under_Supply -2.6705 1.5262 0.0394 -5.5003 0.3904 1309.6105 1.0014
Flow -0.8787 1.9398 0.0478 -4.8765 2.7202 1442.8895 1.0007
Arc -0.0116 0.394 0.0077 -0.7878 0.7423 2541.5796 1.0018
