 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.8952 1.1813 0.0233 -3.0934 1.4605 1993.293 1.0002
w_n_t_1 1.0614 0.4577 0.009 0.1973 1.9509 2789.92 1.0016
w_a_t_1 3.3307 0.4843 0.0094 2.3162 4.2087 2635.996 0.9997
w_d_t_1 -1.121 0.4028 0.007 -1.9578 -0.3801 3657.0557 0.9999
w_c_t_1 2.0207 1.5545 0.0281 -0.8724 5.2316 2427.0841 0.9997
y_c_t_1 0.9742 1.8783 0.0419 -2.844 4.4044 1874.4171 0.9998
Node 0.3835 0.7512 0.0163 -0.9562 2.0062 2119.9695 0.9997
Under_Supply -6.775 1.5552 0.0346 -9.9386 -3.9003 1710.5263 0.9998
Flow -3.3895 2.0087 0.047 -7.5937 0.2702 1723.1191 0.9997
Arc 0.3898 0.4123 0.008 -0.3508 1.2321 2587.9298 0.9999
