 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.6822 0.8897 0.0195 -3.4671 -0.0094 2220.7956 0.9997
w_n_t_1 0.5342 0.5091 0.0087 -0.4194 1.5363 3028.4339 1.0006
w_a_t_1 2.8728 0.5177 0.0091 1.8524 3.8449 3206.1116 1.0002
w_d_t_1 -1.4454 0.2887 0.0054 -2.0046 -0.8554 3048.7109 1.0005
w_c_t_1 0.9198 1.4348 0.0306 -1.9739 3.5613 2090.0818 1.0003
y_c_t_1 3.1065 1.4027 0.0285 0.4649 5.8535 2675.6487 0.9997
Node -1.1847 0.5297 0.0107 -2.2415 -0.1878 2839.3069 1.0005
Under_Supply -3.4565 1.3853 0.0345 -5.9963 -0.5891 1930.9198 1.0001
Flow -2.4402 1.8672 0.0445 -6.2452 1.0744 2022.6756 1.0006
Arc -0.001 0.3346 0.0059 -0.6328 0.6587 3001.0757 0.9998
