 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1054.7874 657.9711 62.669 -2381.4329 -13.429 16.7552 1.0698
w_n_t_1 1.4417 2.3925 0.2112 -3.1446 6.0945 41.7834 1.0709
w_a_t_1 1045.7878 658.0536 62.6762 11.0507 2378.1041 16.8324 1.0678
w_d_t_1 -22.7987 766.172 72.5884 -1460.5307 1246.4454 22.4459 1.0047
w_c_t_1 10.7457 8.3356 0.7735 -5.6808 28.0542 16.2157 1.0403
y_c_t_1 -4.4117 7.2792 0.6912 -17.5186 6.834 12.633 1.0006
Node 3.4155 2.6123 0.2431 -2.4148 8.1363 20.4359 1.0154
Under_Supply -1.2332 4.7793 0.4557 -11.1925 6.5081 13.9711 1.0077
Flow -6.2985 6.7725 0.6574 -18.8345 4.6456 7.3831 1.0456
Arc 1.1066 1.2257 0.1192 -1.342 3.3248 11.2739 1.1136
