 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.1788 1.2486 0.0277 -3.6819 1.2499 2342.9249 1.0003
w_n_t_1 1.5902 0.6016 0.0114 0.3897 2.7083 3157.8419 0.9997
w_a_t_1 2.4696 0.6744 0.0125 1.1364 3.7342 3077.0175 1.0001
w_d_t_1 -1.3325 0.5388 0.0095 -2.3702 -0.3118 3585.919 1.0006
w_c_t_1 -1.9103 1.7582 0.0329 -5.1967 1.4636 2344.5438 0.9997
y_c_t_1 -0.0144 1.8933 0.0358 -3.8363 3.5546 2770.8582 1.0005
Node 1.3042 0.7227 0.014 -0.0154 2.7848 2272.3382 0.9999
Under_Supply -3.3934 1.728 0.0374 -6.787 -0.0949 1815.5591 1.0
Flow -1.9302 2.2277 0.0468 -6.2513 2.3559 1824.039 0.9999
Arc 0.5934 0.3743 0.0069 -0.1509 1.282 3153.4709 0.9997
