 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.9084 3.9736 0.1071 -9.306 6.1288 1280.657 1.0001
w_n_t_1 1.1473 0.5936 0.0128 -0.0002 2.2999 2428.0292 1.0016
w_a_t_1 0.4536 0.654 0.0115 -0.7929 1.7984 2838.9102 0.9997
w_d_t_1 -8.587 999.8415 16.2708 -1904.1807 1982.0959 2743.4574 0.9999
w_c_t_1 -3.5401 2.9523 0.0716 -9.6458 1.7402 1630.6256 0.9999
y_c_t_1 7.5437 2.9109 0.0738 2.185 13.3437 1473.1505 0.9997
Node -0.8329 0.8622 0.0207 -2.4894 0.8842 1587.5248 1.0002
Under_Supply 0.1621 3.8997 0.1088 -7.8324 7.353 1207.213 1.0005
Flow -0.5134 1.5932 0.0345 -3.9685 2.3781 2175.1528 1.0005
Arc 1.9877 0.952 0.0185 0.1581 3.8867 2765.0373 0.9998
