 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.2217 1.1027 0.0253 -10.2933 -6.017 2032.3842 0.9997
w_n_t_1 0.7967 0.6641 0.0138 -0.4758 2.1509 2419.6813 1.0002
w_a_t_1 1.8834 0.7444 0.0168 0.4904 3.3887 2138.6854 0.9999
w_d_t_1 -34.9843 1007.9532 18.2527 -2081.2569 1886.3383 2763.9274 1.0001
w_c_t_1 4.792 1.537 0.0333 1.9133 7.943 2016.4998 1.0003
y_c_t_1 3.6614 1.3391 0.0328 1.2287 6.4355 1927.5993 1.001
Node 0.163 0.4388 0.0093 -0.6616 1.0833 2119.7812 1.0007
Under_Supply -1.406 1.3126 0.0305 -3.9476 1.1038 1625.5017 0.9999
Flow 0.1005 1.7101 0.0412 -3.1973 3.434 1508.5658 0.9997
Arc 0.6076 0.3213 0.0056 -0.0019 1.2425 3044.5881 0.9997
