 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.8032 0.9586 0.0191 -5.7931 -2.0212 2076.1137 0.9998
w_n_t_1 1.8388 0.5885 0.0114 0.692 2.9615 2319.1992 1.0029
w_a_t_1 2.8227 0.5728 0.0108 1.7441 3.9789 2354.2938 1.0008
w_d_t_1 -1.5139 0.3207 0.007 -2.167 -0.9098 2225.5498 0.9997
w_c_t_1 3.713 1.3818 0.0278 0.9553 6.3774 2025.6171 1.0011
y_c_t_1 7.7947 1.4593 0.0275 4.8382 10.5383 2334.4953 1.0
Node 0.6382 0.4551 0.0093 -0.2121 1.5588 2065.5895 1.0005
Under_Supply -5.7926 1.656 0.0388 -8.9695 -2.5367 1770.5001 1.0009
Flow -1.7823 1.5673 0.0361 -4.6147 1.5249 1728.4579 1.001
Arc -0.0176 0.3398 0.0063 -0.7006 0.6331 2797.4685 1.0014
