 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 13.0109 5.034 0.1237 3.4551 22.6193 1665.1184 1.0014
w_n_t_1 2.5185 0.5661 0.0117 1.4709 3.6598 2142.5237 1.0006
w_a_t_1 2.7789 0.5864 0.0132 1.6622 3.9455 2230.7794 1.0006
w_d_t_1 4.016 994.7314 19.2269 -1874.564 2045.8668 2680.1933 1.0005
w_c_t_1 -2.6364 1.8991 0.038 -6.1952 1.0725 2427.9528 0.9998
y_c_t_1 1.6888 1.5987 0.0344 -1.4316 4.78 2575.0777 1.0022
Node -2.6622 1.1045 0.026 -4.7652 -0.5433 1681.2878 1.0015
Under_Supply -17.0204 5.2139 0.1309 -27.0754 -6.647 1521.7823 1.0016
Flow 1.9633 2.8159 0.0543 -3.2831 7.7636 2234.3587 1.0001
Arc 1.6299 0.853 0.0171 -0.0908 3.2482 2193.3029 1.0003
