 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -18.3967 7.8127 0.2386 -34.3966 -4.0021 948.8162 0.9999
w_n_t_1 1.4379 2.1931 0.0484 -2.7565 5.834 1748.8576 1.0024
w_a_t_1 3.6869 2.182 0.053 -0.1805 8.132 1439.5438 0.9997
w_d_t_1 24.627 988.9969 19.4727 -1890.9008 1905.1509 2553.2054 0.9997
w_c_t_1 24.6639 10.9188 0.3387 2.6243 45.0644 959.624 1.0002
y_c_t_1 -16.202 7.663 0.2079 -31.6192 -1.6165 1233.2294 0.9997
Node 2.1019 2.4895 0.0703 -2.4328 7.3283 1362.906 1.0005
Under_Supply -1.6002 5.6241 0.1758 -13.3909 8.1635 1118.7484 0.9997
Flow -0.6223 6.7895 0.2136 -14.2227 12.2127 1061.2489 1.0
Arc 1.1395 1.2314 0.0244 -1.457 3.4876 2205.1707 0.9997
