 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.1298 4.8243 0.136 -12.812 6.1797 1420.8747 0.9997
w_n_t_1 5.3333 2.082 0.0522 1.5057 9.3604 1602.6162 0.9998
w_a_t_1 4.2361 1.7928 0.0328 0.8472 7.7043 2574.0881 0.9997
w_d_t_1 20.6258 968.4788 15.8954 -1855.8364 1896.1945 2683.0206 1.0002
w_c_t_1 -7.5827 6.1607 0.1634 -19.7819 4.5644 1596.699 0.9997
y_c_t_1 1.3955 5.1196 0.1109 -8.6304 11.0493 2181.3872 0.9997
Node 3.9194 1.88 0.0475 0.5458 7.9 1592.5513 0.9998
Under_Supply -4.4437 3.5649 0.1008 -11.5239 2.401 1457.717 0.9997
Flow -8.0271 3.9535 0.1019 -15.0763 0.5535 1419.1206 0.9998
Arc 0.4494 0.8354 0.0178 -1.2282 2.0458 2073.7514 1.0006
