 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -11.7579 6.498 0.1742 -24.5243 0.7347 1246.7866 0.9997
w_n_t_1 6.1212 3.5271 0.0824 -0.1102 13.1833 1811.7982 0.9998
w_a_t_1 2.6039 1.9162 0.043 -1.2879 6.2797 2326.7051 1.0004
w_d_t_1 -27.2371 1004.3371 20.5943 -2020.6442 1913.9335 2484.9485 0.9997
w_c_t_1 4.3636 7.8472 0.195 -10.638 19.1353 1528.101 1.0
y_c_t_1 -2.5699 6.6287 0.1607 -15.0099 10.8084 1643.882 1.0006
Node 4.8988 2.6669 0.0688 -0.4875 9.8553 1562.601 0.9997
Under_Supply -7.7051 4.8163 0.1259 -17.4252 1.4481 1382.0461 0.9997
Flow -3.5666 4.8446 0.1042 -12.6287 6.4519 1857.1277 0.9997
Arc 1.2627 0.9538 0.0187 -0.6029 3.1602 2238.2189 0.9997
