 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.1165 2.1712 0.0644 -7.3255 1.2057 1347.4246 1.0021
w_n_t_1 2.6691 1.3517 0.0379 0.3893 5.402 1389.9905 1.002
w_a_t_1 3.8527 0.5143 0.0101 2.8894 4.8663 2268.7306 0.9998
w_d_t_1 -1.3722 0.3993 0.0072 -2.1452 -0.5981 2844.8513 0.9997
w_c_t_1 1.3889 1.9427 0.0492 -2.3134 5.1624 1522.9807 0.9997
y_c_t_1 -1.8226 1.7765 0.0408 -5.1946 1.685 1802.609 1.0007
Node -0.8211 0.9364 0.019 -2.6262 1.0293 2177.0582 0.9997
Under_Supply -8.2506 1.9632 0.0568 -11.888 -4.3419 1211.5539 1.0005
Flow -0.2975 2.4425 0.062 -5.0368 4.3709 1300.7806 1.0001
Arc 0.0073 0.4816 0.0096 -0.9412 0.9396 2454.2897 1.0004
