 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.1081 2.1452 0.0496 -11.2197 -2.9717 1600.6562 0.9997
w_n_t_1 2.4305 1.2846 0.0249 -0.135 4.8623 2339.5548 1.0004
w_a_t_1 1.876 0.6598 0.0112 0.6301 3.1647 3086.0864 0.9997
w_d_t_1 1.3889 997.4992 17.4187 -1917.3348 1942.1077 2924.489 1.0
w_c_t_1 5.8272 2.7256 0.0621 0.5572 11.2112 1670.9171 0.9999
y_c_t_1 0.4282 2.7514 0.0641 -5.0985 5.8343 1773.3179 1.0004
Node -1.1257 1.2104 0.0293 -3.4536 1.3083 1751.0425 1.0024
Under_Supply -4.2211 2.3977 0.0648 -9.1983 0.165 1161.2321 0.9997
Flow -3.0996 3.2921 0.0875 -9.6925 3.1545 1292.978 1.0001
Arc -0.3479 0.6047 0.0139 -1.504 0.7886 1886.2052 1.0011
