 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -98.6618 47.195 1.7952 -193.2736 -13.0465 660.0204 1.0059
w_n_t_1 -4.6801 4.7884 0.165 -13.6412 4.9963 831.7057 1.0072
w_a_t_1 -3.3225 3.0901 0.0789 -9.2827 2.6389 1498.5475 1.0
w_d_t_1 21.4832 1027.6973 23.6154 -1969.18 2045.3899 1682.2762 0.9999
w_c_t_1 99.4546 52.1275 2.0603 12.99 211.8261 654.3453 1.0051
y_c_t_1 -2.7347 22.1654 0.6337 -44.7452 39.5549 1193.1606 1.0022
Node 2.4725 6.8565 0.1882 -11.2533 15.9006 1235.1474 1.0018
Under_Supply -429.6001 163.6881 4.8676 -758.4603 -158.0798 905.3651 0.9997
Flow 45.7161 25.8742 0.7941 -1.8935 98.522 907.5425 1.0021
Arc 2.5144 2.4375 0.0775 -1.8436 7.5899 1069.377 0.9997
