 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -38.6432 26.901 0.7928 -92.849 9.4904 1130.2772 1.0001
w_n_t_1 -0.6675 4.0489 0.1108 -8.8019 7.3724 1238.4548 1.0002
w_a_t_1 1.6833 3.075 0.085 -4.4221 7.8923 1434.4955 1.0002
w_d_t_1 -14.3038 998.275 20.3688 -1875.3557 1974.8502 2227.0556 1.0002
w_c_t_1 41.0784 37.9239 1.1184 -29.065 119.2396 1057.2825 1.0004
y_c_t_1 -9.7064 27.5238 0.6807 -64.1579 42.5489 1365.6209 1.0
Node -1.1127 7.1429 0.1466 -14.8968 13.2541 1803.4073 1.0001
Under_Supply -286.6278 94.8279 2.8392 -468.4732 -119.0417 1051.2477 1.0
Flow 34.0307 20.604 0.584 -3.1433 78.3374 1158.3656 0.9999
Arc 1.1727 2.5676 0.0628 -3.8188 6.413 1641.7208 0.9999
