 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.9057 1.9257 0.045 -6.4658 1.088 1750.7585 0.9997
w_n_t_1 2.7003 0.5835 0.0098 1.4806 3.7663 3230.3965 0.9998
w_a_t_1 2.573 0.6357 0.0118 1.3282 3.8268 3533.2044 0.9998
w_d_t_1 -0.4693 0.5807 0.0101 -1.5692 0.6684 2865.2176 1.0007
w_c_t_1 0.7898 2.2708 0.0496 -3.743 5.0343 2363.9114 1.0003
y_c_t_1 0.1388 2.1776 0.0446 -4.0897 4.3458 2192.7284 0.9999
Node 0.8161 1.2623 0.028 -1.7013 3.2046 1840.7199 0.9997
Under_Supply -11.9172 2.4236 0.0553 -16.9525 -7.429 1688.0899 0.9997
Flow 1.0542 2.5838 0.0589 -3.8918 6.2005 1883.7151 0.9998
Arc -0.2549 0.6252 0.0119 -1.4131 1.0228 2349.2433 0.9997
