 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.4845 1.3497 0.0259 -5.2727 0.0861 2631.4343 0.9998
w_n_t_1 2.699 0.6686 0.0132 1.3263 3.9554 2482.8402 1.0003
w_a_t_1 3.4323 0.6509 0.0117 2.1163 4.6322 2913.7269 1.0002
w_d_t_1 -1.1913 0.6246 0.0104 -2.4218 -0.0369 2853.6402 0.9998
w_c_t_1 -1.152 2.1961 0.0478 -5.4733 3.2212 2095.7958 1.0001
y_c_t_1 0.9396 2.2855 0.0466 -3.2931 5.4797 2186.8863 0.9997
Node 0.0574 0.8824 0.0155 -1.6822 1.7405 2282.0013 1.0019
Under_Supply -4.5921 1.655 0.0345 -7.9744 -1.6164 1987.3749 0.9998
Flow -3.1448 2.3078 0.0496 -7.4921 1.3791 1975.5534 0.9999
Arc -0.0077 0.4665 0.0084 -0.9724 0.853 2536.9323 1.0001
