 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.8572 0.8722 0.0171 -3.5412 -0.1602 2362.3102 0.9997
w_n_t_1 1.8443 0.6155 0.0098 0.6614 3.0498 3475.7653 0.9997
w_a_t_1 3.3558 0.6146 0.0123 2.041 4.4533 2829.8291 1.0
w_d_t_1 -1.1801 0.4304 0.0079 -2.1184 -0.4173 2542.1811 0.9998
w_c_t_1 1.8048 1.5877 0.0335 -1.2133 4.9935 2188.6632 0.9997
y_c_t_1 -1.2795 1.6093 0.0322 -4.4885 1.6953 2445.0307 0.9997
Node 0.3749 0.4762 0.008 -0.4931 1.3823 3216.5866 0.9998
Under_Supply -0.0761 1.4106 0.0364 -2.7525 2.7112 1637.4282 1.0004
Flow -4.8065 1.8898 0.0478 -8.4152 -1.0356 1821.4623 0.9998
Arc -0.3025 0.3395 0.0053 -0.9446 0.3771 3516.4105 0.9997
