 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -13.9082 12.1503 0.3867 -39.5197 7.763 1049.8233 0.9998
w_n_t_1 3.6889 2.8151 0.0578 -1.9791 9.0122 2168.4088 1.0
w_a_t_1 6.8245 2.607 0.0704 2.2443 11.9249 1254.7003 1.0001
w_d_t_1 -1.7084 945.6323 20.7134 -1771.6062 1920.5729 2041.8134 0.9997
w_c_t_1 28.5564 12.3332 0.3816 4.9055 52.7324 1156.14 0.9997
y_c_t_1 -14.0747 7.3524 0.1787 -28.9501 0.1725 1621.819 1.0
Node 10.8536 5.052 0.1325 1.3804 20.9214 1546.0299 1.0008
Under_Supply -75.5631 17.6006 0.4566 -108.6249 -42.7358 1267.54 1.0007
Flow -12.7077 10.2302 0.2265 -35.24 5.1611 1892.0819 1.0
Arc -0.8969 1.7266 0.0467 -4.218 2.536 1576.6558 0.9997
