 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.7528 1.8298 0.0384 -8.2259 -1.158 2061.7242 1.0
w_n_t_1 2.0459 1.0407 0.0159 0.103 4.1363 3440.0243 0.9998
w_a_t_1 2.919 0.9562 0.0159 1.1443 4.81 3237.8049 0.9997
w_d_t_1 14.7025 988.9747 18.6512 -2034.2889 1870.7639 2668.8533 0.9997
w_c_t_1 4.2085 2.8372 0.0605 -1.1416 9.7652 1937.857 1.0001
y_c_t_1 -3.4238 2.7478 0.0612 -9.0334 1.5718 1907.1453 0.9997
Node -1.151 1.1249 0.0245 -3.3721 1.0801 2038.5931 1.0
Under_Supply -4.3582 2.2903 0.0558 -8.9384 -0.1399 1374.3978 0.9999
Flow -0.1409 3.1109 0.0762 -6.4283 5.6356 1476.9914 0.9997
Arc -1.3894 0.6915 0.013 -2.7911 -0.0502 2698.5635 0.9999
