 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 1.8504 4.779 0.1171 -7.8932 10.8896 1622.3889 1.0005
w_n_t_1 4.1992 1.4181 0.0292 1.3083 6.7773 1970.393 1.0011
w_a_t_1 3.9333 1.2962 0.0312 1.5084 6.5324 1706.4473 1.0001
w_d_t_1 -7.6213 1016.7404 20.4471 -1918.2906 2019.2473 2432.3496 0.9999
w_c_t_1 -1.9462 2.6651 0.0557 -7.1414 3.1326 1864.6583 1.0
y_c_t_1 0.6504 2.3078 0.0487 -3.8016 5.2442 2327.4301 0.9998
Node 0.7169 0.9854 0.0227 -1.2697 2.5754 1802.7792 1.0007
Under_Supply 9.0958 5.3393 0.1235 -1.6109 19.3549 1476.5254 1.0006
Flow -12.8283 6.9873 0.1793 -26.0096 -0.3948 1329.3247 1.0014
Arc 0.8374 1.0802 0.0227 -1.1962 2.9451 1963.0837 1.0004
