 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -11.2524 4.6541 0.1067 -20.3082 -2.2924 1873.4791 1.0049
w_n_t_1 1.7513 1.5327 0.029 -1.1448 4.9031 2325.8952 0.9999
w_a_t_1 2.073 1.413 0.0311 -0.619 4.8284 2262.4002 1.0007
w_d_t_1 3.7633 1006.5701 24.9689 -1987.6217 1903.6211 1674.042 1.0
w_c_t_1 2.8518 5.4378 0.1117 -7.7067 13.5797 2157.8689 1.0014
y_c_t_1 15.3261 5.645 0.1427 4.9327 26.3869 1570.7108 1.0029
Node 1.7695 2.1226 0.0489 -2.2656 6.0606 1815.3919 1.0001
Under_Supply -11.2871 5.1124 0.1199 -21.1761 -1.3432 1760.974 1.0004
Flow -12.746 5.496 0.141 -22.8008 -1.2118 1523.3324 1.0017
Arc -0.3018 0.8865 0.0223 -1.9698 1.4826 1619.2066 1.0009
