 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 3.2278 1.6901 0.0424 -0.0725 6.501 1521.4257 1.0003
w_n_t_1 1.9135 0.4755 0.0087 0.9475 2.7848 2437.4288 0.9999
w_a_t_1 2.3805 0.421 0.0085 1.542 3.1963 2343.1325 1.0
w_d_t_1 14.9253 989.0691 17.7529 -1926.3809 1869.9239 3206.3724 0.9997
w_c_t_1 -2.4489 2.5524 0.0682 -7.6582 2.3109 1270.8412 0.9998
y_c_t_1 -2.7152 2.2069 0.0506 -6.979 1.4985 2017.2875 0.9997
Node 0.4138 0.8864 0.0198 -1.3456 2.0591 1876.1925 1.0002
Under_Supply -7.6479 1.8216 0.0527 -11.3544 -4.2632 1109.1265 0.9998
Flow -1.9678 2.1292 0.0554 -6.2334 2.0494 1428.925 1.0
Arc -0.4204 0.4362 0.0101 -1.2565 0.4677 2078.2389 1.0001
