 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -11.2434 3.5176 0.0816 -17.9228 -4.4122 1892.64 1.0003
w_n_t_1 5.3377 1.7797 0.0361 1.9366 8.8664 2235.2172 0.9998
w_a_t_1 4.6783 1.2947 0.0279 2.2377 7.3331 2354.5334 0.9998
w_d_t_1 16.5114 992.6133 17.8838 -1937.0843 1986.4317 2535.3634 0.9999
w_c_t_1 2.7794 4.657 0.1046 -6.3593 11.8146 1970.112 1.0009
y_c_t_1 3.1142 4.3601 0.0887 -4.8983 12.2081 2141.1885 1.0006
Node -0.8722 1.4861 0.0297 -3.6334 2.2402 2288.4284 1.0
Under_Supply -4.4203 3.1003 0.0771 -10.6763 1.4564 1627.1784 1.0
Flow -5.2913 3.8121 0.0883 -12.618 2.0544 1830.4601 1.0004
Arc 0.5675 0.7309 0.0161 -0.9136 1.8745 2148.3269 1.0007
