 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -62.9733 23.681 1.1778 -109.6918 -21.1637 290.3628 1.0005
w_n_t_1 3.0052 2.6341 0.1034 -1.9211 8.6645 463.3054 1.0027
w_a_t_1 10.2861 3.8904 0.1896 3.1306 17.7175 309.0727 1.0011
w_d_t_1 -769.5263 594.3379 22.2534 -1940.7085 28.1516 642.0171 1.0003
w_c_t_1 67.4492 26.5127 1.3929 18.4684 118.9857 253.3257 1.0004
y_c_t_1 -26.8538 16.9851 0.8222 -62.7462 4.065 311.9392 1.0029
Node 8.45 5.4067 0.1814 -1.2079 19.542 824.2211 1.0024
Under_Supply -170.6121 51.8446 2.774 -277.2136 -83.5268 251.0992 1.0031
Flow 33.1793 18.8756 0.8865 -4.013 68.8555 347.7902 1.0089
Arc 1.7578 1.6397 0.0532 -1.3484 5.2239 974.7474 1.0004
