 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.9363 1.657 0.0318 -6.1781 0.3304 1975.5441 0.9997
w_n_t_1 0.6806 0.7272 0.0125 -0.7148 2.1505 3555.7817 0.9997
w_a_t_1 1.9113 0.7519 0.0149 0.5014 3.4855 2625.462 1.0009
w_d_t_1 10.7845 1000.3915 16.1802 -1930.0816 1987.3559 3818.466 1.0
w_c_t_1 0.3169 2.5117 0.0541 -4.5913 5.2646 1786.9547 1.0009
y_c_t_1 1.343 2.7028 0.0487 -3.9651 6.4992 2311.3435 1.0021
Node -1.5135 0.9833 0.0193 -3.3885 0.3703 2645.6894 0.9999
Under_Supply -7.2033 2.2112 0.0446 -11.2263 -2.6468 1604.5181 0.9998
Flow 0.9271 2.6735 0.0503 -4.2621 6.2195 2127.3393 0.9998
Arc -0.3915 0.5847 0.0115 -1.5459 0.7158 2466.6447 0.9999
