 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 1.9696 1.994 0.0522 -1.7923 6.054 1376.7819 1.0014
w_n_t_1 1.2931 0.7788 0.0129 -0.2274 2.8404 2924.7396 1.001
w_a_t_1 1.233 0.5406 0.0115 0.2524 2.3673 2604.6001 0.9997
w_d_t_1 22.8772 1018.8945 18.4179 -1848.989 2132.9633 2845.6658 0.9998
w_c_t_1 -4.2282 2.6342 0.0637 -9.542 0.4763 1573.2347 1.0013
y_c_t_1 1.024 2.4618 0.0515 -3.7721 5.7812 1749.4537 1.0007
Node 1.1113 1.3837 0.0297 -1.56 3.8288 2043.8235 1.0003
Under_Supply -10.8882 2.6315 0.077 -15.9691 -5.8826 1118.2947 1.0054
Flow -2.0592 2.9782 0.0723 -7.6476 4.0362 1806.2097 1.003
Arc 0.0286 0.5986 0.012 -1.2072 1.1506 2472.0606 0.9997
