 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.1147 2.4407 0.0593 -4.7039 4.8172 1698.709 1.0019
w_n_t_1 1.6251 0.5731 0.0111 0.5216 2.7538 2832.3241 0.9997
w_a_t_1 2.9032 0.6486 0.0139 1.647 4.1723 2189.4755 0.9997
w_d_t_1 29.0891 1022.9062 20.43 -1914.4537 2009.7196 2728.7814 0.9999
w_c_t_1 -1.3068 2.9345 0.0701 -6.8644 4.6695 1655.9944 1.0015
y_c_t_1 1.1407 2.9575 0.067 -4.8115 6.8077 1759.9096 1.0
Node -1.3149 1.6285 0.0354 -4.4264 1.9377 2062.327 1.0003
Under_Supply -9.7475 3.1374 0.0855 -15.6742 -3.8325 1290.4303 1.0037
Flow -4.3314 4.1386 0.0951 -12.2551 3.1366 1554.7074 1.0001
Arc -0.8803 0.7981 0.016 -2.404 0.6797 2105.6827 0.9997
