 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.5211 3.0299 0.0718 -9.4681 2.0046 1683.2041 0.9998
w_n_t_1 1.1742 1.1006 0.0222 -1.0894 3.1608 2356.9271 0.9999
w_a_t_1 5.3084 1.0195 0.0221 3.4232 7.4097 1704.1528 0.9997
w_d_t_1 40.4166 1001.4559 20.7636 -1950.1546 2005.0351 2089.0615 1.0006
w_c_t_1 1.9724 4.5433 0.112 -6.8672 11.0498 1622.6486 0.9997
y_c_t_1 -4.5312 3.6682 0.0883 -11.9613 1.9465 1703.9667 0.9997
Node -1.0352 1.5127 0.0341 -3.9221 1.9765 2054.0725 1.0001
Under_Supply -4.4686 2.8354 0.0711 -10.0743 0.7671 1440.1468 0.9998
Flow -2.9879 3.2211 0.076 -8.937 3.5894 1746.1452 1.0009
Arc 0.8097 0.6324 0.0121 -0.4216 2.0478 2322.0072 1.0004
