 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.8551 1.5622 0.0338 -7.0212 -0.9308 1915.1728 0.9997
w_n_t_1 2.9221 0.7474 0.0144 1.5296 4.483 2513.2307 0.9997
w_a_t_1 4.2585 0.7287 0.0138 2.9202 5.6626 2450.3881 1.0009
w_d_t_1 -15.221 1009.9515 16.8644 -1894.8064 2095.6302 3263.4744 1.0
w_c_t_1 2.2395 2.8221 0.068 -3.0422 8.1146 1561.1361 1.0
y_c_t_1 -6.6241 2.7554 0.0638 -11.9769 -1.1443 1833.2319 1.0001
Node 0.3661 0.5458 0.0113 -0.7841 1.3509 2378.1285 0.9997
Under_Supply 0.1448 1.5423 0.0418 -2.8478 3.1732 1345.3775 1.0
Flow -1.9054 1.7939 0.047 -5.3828 1.6264 1514.1036 1.0
Arc 0.1956 0.4157 0.0086 -0.609 0.9851 2308.418 0.9997
