 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1003.8252 440.4626 39.701 -1405.3847 -12.2771 2.0788 1.5509
w_n_t_1 -0.7087 1.1617 0.0879 -2.8906 1.895 83.675 1.045
w_a_t_1 998.6987 443.2135 40.0082 3.8946 1399.282 2.0433 1.5638
w_d_t_1 442.9868 767.7129 65.2878 -1417.283 1464.6032 2.9175 1.3941
w_c_t_1 5.3686 7.0782 0.5708 -5.5698 23.3955 5.007 1.2807
y_c_t_1 0.4465 4.5598 0.3825 -5.6304 12.1446 3.8314 1.3414
Node 6.869 2.6826 0.2473 0.3009 12.3843 18.1466 1.0611
Under_Supply -53.0666 10.6754 0.9344 -77.8318 -40.4011 2.5334 1.459
Flow 1.4011 5.089 0.4411 -11.3993 12.3763 23.607 1.0626
Arc 1.6205 1.0409 0.0886 -1.0542 3.732 41.4895 1.0302
