 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -6.0008 1.3392 0.0266 -8.5405 -3.2824 2449.772 0.9999
w_n_t_1 0.4463 0.5726 0.0099 -0.687 1.5487 3379.5188 0.9997
w_a_t_1 1.6978 0.5098 0.0099 0.7409 2.7138 2798.6686 0.9997
w_d_t_1 7.9492 981.0196 19.8824 -1935.7259 1827.7015 3188.9676 0.9999
w_c_t_1 0.3539 2.4818 0.0599 -4.5933 5.0287 1625.3931 0.9997
y_c_t_1 5.1117 2.5288 0.0578 0.0169 9.7729 1768.2246 0.9997
Node 0.7445 0.6581 0.0147 -0.4613 2.1168 1952.4176 0.9997
Under_Supply -3.575 1.6588 0.0424 -6.9557 -0.5097 1293.775 1.0
Flow -0.5497 2.2314 0.056 -4.7304 3.9634 1220.9388 0.9997
Arc 0.0218 0.3965 0.0074 -0.7356 0.7823 3115.6705 0.9999
