 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -187.5975 71.4815 3.2461 -330.0683 -63.8407 385.4343 0.9997
w_n_t_1 36.852 17.2384 0.7502 6.5157 69.7764 436.3334 1.0001
w_a_t_1 4.3741 7.2491 0.2287 -9.4575 19.2216 821.4008 1.0009
w_d_t_1 -777.03 585.3474 21.2913 -1883.219 -0.4687 649.8691 1.0012
w_c_t_1 70.2623 37.9156 1.2924 1.7091 143.4586 687.2684 1.0002
y_c_t_1 123.9108 51.5217 2.2224 40.1171 234.7178 441.1052 1.0
Node 41.0013 20.9641 0.8735 3.8171 81.1756 460.9018 0.9997
Under_Supply -376.1158 156.4519 7.1043 -660.3705 -103.1215 388.8066 0.9997
Flow -2.1137 19.9913 0.4959 -40.2124 37.2531 1463.2821 0.9997
Arc -0.4895 3.4337 0.0914 -6.6795 6.7816 1402.7201 1.0023
