 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.5841 2.828 0.0622 -7.3945 3.5442 1905.3565 1.0
w_n_t_1 2.0771 1.0065 0.0197 0.0577 3.9961 2506.8231 0.9997
w_a_t_1 1.5586 0.8864 0.016 -0.1596 3.2131 2394.2465 0.9997
w_d_t_1 -0.8031 1.2713 0.0272 -3.3577 1.4885 1779.5207 0.9997
w_c_t_1 9.2402 3.9602 0.0789 1.7055 17.1163 1796.4797 1.0007
y_c_t_1 -5.1281 3.8576 0.0906 -12.7866 2.092 1583.551 1.0
Node 0.029 1.6827 0.0358 -3.4154 3.1354 1969.4201 0.9998
Under_Supply -11.0535 3.9372 0.0989 -18.8228 -3.4517 1474.8605 0.9998
Flow -9.6978 5.1362 0.1224 -20.111 0.0865 1563.1061 0.9998
Arc 1.3228 0.7444 0.017 -0.1802 2.689 1888.334 0.9997
