 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 3.8368 6.9236 0.1913 -10.4844 16.912 1257.1038 1.001
w_n_t_1 3.2254 1.488 0.0321 0.2959 6.1183 1747.5749 1.0006
w_a_t_1 5.2839 1.6583 0.037 1.9356 8.3636 2076.8805 0.9997
w_d_t_1 24.8438 984.5021 18.3997 -1778.3963 2098.7498 2333.6934 0.9997
w_c_t_1 -9.4708 8.0725 0.2078 -25.3425 5.9671 1427.3974 1.0006
y_c_t_1 0.9896 6.0386 0.156 -11.5086 12.2261 1518.3929 0.9998
Node 6.9707 2.6251 0.0567 2.0735 12.1028 1527.7404 0.9998
Under_Supply -15.7499 6.7414 0.2112 -29.48 -3.7986 1070.1712 1.0009
Flow -13.4408 6.9829 0.1918 -26.3175 0.3375 1386.6654 0.9997
Arc 1.3803 0.9748 0.0207 -0.6275 3.2084 1734.3166 0.9999
