 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.103 5.3026 0.2365 -17.4602 3.4258 436.8174 0.9997
w_n_t_1 2.6783 1.3316 0.0436 0.2043 5.2508 929.4539 1.0001
w_a_t_1 3.3383 0.9671 0.0317 1.5393 5.3181 836.6321 0.9997
w_d_t_1 -797.4878 600.1761 28.1904 -1975.8958 0.6368 403.5873 1.0007
w_c_t_1 5.747 5.1097 0.2068 -4.736 15.5015 647.23 1.0058
y_c_t_1 4.5379 4.4868 0.1692 -3.2271 14.397 749.2576 1.0047
Node 4.3654 2.495 0.1027 -0.2188 9.6661 548.9291 1.0028
Under_Supply -25.8344 6.3758 0.258 -38.538 -14.4928 608.2676 0.9997
Flow -10.7873 6.1938 0.2625 -22.9418 1.3491 518.8628 1.0041
Arc 0.5669 1.0847 0.0342 -1.5283 2.6834 735.4447 0.9997
