 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.2858649458602324e+82 6.870734710907506e+82 6.819430475002508e+81 -1.7377583345171232e+83 -5.389528534661757e+71 1.5721 1.9743
w_n_t_1 -0.3812 1027.9706 14.185 -2020.053 1962.3694 5268.4873 0.9997
w_a_t_1 -17.8279 998.1038 11.8142 -1916.6951 1991.1289 6183.5044 0.9997
w_d_t_1 -28.3006 996.7429 14.1326 -1939.8235 1967.5495 5131.9951 0.9997
w_c_t_1 -10.8176 992.8957 14.7326 -2015.7878 1885.2662 5406.6148 0.9999
y_c_t_1 -20.6587 1005.8539 14.1622 -1953.1152 1873.3915 5196.5173 0.9997
Node 12.8447 977.0816 13.2627 -1905.7736 1966.8415 6173.4104 0.9998
Under_Supply 14.2949 1013.0123 11.7838 -1983.5189 1915.7862 6931.7635 0.9997
Flow -10.7183 1029.264 14.3984 -1919.0458 2045.8387 5337.7531 0.9997
Arc 7.7904 990.3749 11.949 -1940.549 1943.5053 5138.673 0.9997
