 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.7688 6.2521 0.2365 -13.4719 10.973 692.0801 1.0006
w_n_t_1 2.6167 2.7995 0.0931 -2.5038 8.305 789.6654 1.0003
w_a_t_1 2.1182 1.1504 0.0311 -0.1167 4.4192 1437.7917 0.9997
w_d_t_1 -774.7204 586.742 26.3353 -1894.8894 -2.5044 503.3651 0.9997
w_c_t_1 -0.483 6.3127 0.2273 -13.2225 11.7457 797.4557 0.9998
y_c_t_1 -6.7508 4.4808 0.124 -15.5178 2.0402 1109.0508 1.0002
Node 2.3666 2.4431 0.0797 -2.1465 7.4067 886.1963 1.0009
Under_Supply -19.2647 5.8403 0.212 -31.2683 -9.1553 723.8947 1.0004
Flow 3.1637 5.3368 0.1756 -6.5263 14.0558 832.7272 0.9997
Arc -0.8457 1.0424 0.0362 -2.8946 1.1911 901.3811 0.9997
