 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -6.3912 4.4598 0.1113 -14.8456 2.6367 1715.6395 0.9997
w_n_t_1 1.9006 1.067 0.0208 -0.0778 4.0726 2210.8194 1.0015
w_a_t_1 1.6446 0.8614 0.0174 -0.021 3.312 2359.0629 0.9997
w_d_t_1 -32.8652 1008.9976 22.2286 -2014.085 1933.3919 2140.7889 1.0009
w_c_t_1 11.341 5.8465 0.1315 0.3139 23.3178 1848.8437 0.9997
y_c_t_1 -4.3794 4.9827 0.1022 -14.7231 4.7235 1951.3583 1.0009
Node 1.4744 1.9648 0.0426 -1.9742 5.5591 1805.9623 0.9998
Under_Supply -4.0188 4.1398 0.1065 -12.3088 3.464 1528.3835 1.0005
Flow -9.5677 4.6408 0.119 -18.6284 -0.6737 1519.1895 1.0009
Arc 1.0679 0.8971 0.0185 -0.6466 2.739 2145.4751 0.9999
