 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.4965 0.932 0.0202 -3.197 0.4341 2218.5947 1.0004
w_n_t_1 0.791 0.4626 0.0081 -0.1656 1.6545 3190.3037 0.9997
w_a_t_1 2.4424 0.4208 0.0087 1.6177 3.2431 2438.0601 1.0
w_d_t_1 -0.8974 0.2917 0.0046 -1.463 -0.3092 3204.3591 1.0003
w_c_t_1 1.5695 1.3297 0.0308 -1.0092 4.1455 1977.5101 1.0
y_c_t_1 1.5659 1.4761 0.0316 -1.233 4.4281 2482.0394 0.9998
Node -0.4489 0.6023 0.0115 -1.5799 0.769 2812.2825 1.0008
Under_Supply -6.2565 1.4894 0.0338 -9.1148 -3.1896 1973.377 0.9999
Flow -1.1634 2.0093 0.0455 -4.9091 2.92 2101.6717 0.9997
Arc 0.0169 0.3512 0.0063 -0.6535 0.7081 2983.5811 0.9997
